word, corpus, audience_love_ratio, audience_hate_ratio, critics_hate_ratio, critics_love_ratio
opening,0.00014057742176,1.99341960408,0.293050912793,0.657441576446,0.604377048185
lets,0.000183252710508,1.9879581805,0.674418539031,0.504338743575,0.927263416394
later,0.000170701154994,1.96996760873,1.20668022915,0.54142247472,0.497722274976
bored,8.53505774971e-05,1.96996760873,1.44801627498,1.08284494944,1.99088909991
whos,8.53505774971e-05,1.96996760873,2.4133604583,2.16568989888,0.995444549953
sadly,0.000143087732863,1.95844733032,1.43954834355,0.645907513701,2.37509576831
boring,0.00015814959948,1.94912139065,0.520979400521,2.92196256198,0.537224042832
try,0.000203335199331,1.9294332958,1.41822170142,2.27263754821,0.835681844405
brother,7.27990219828e-05,1.92468099704,1.13178283562,1.26954235452,1.16707292063
doesn\t,0.000459386931822,1.89102537305,1.07612138468,0.402368615092,0.739783927834
literally,0.000253541421388,1.87894600305,1.46235306978,0.729044124375,0.670200291057
money,0.000225927999257,1.8605249638,0.911713950912,0.409074758677,0.752113659964
ridiculous,0.000135556799554,1.8605249638,0.607809300608,0.681791264462,1.25352276661
words,9.03711997028e-05,1.8605249638,0.455856975456,1.02268689669,0.940142074955
ended,6.02474664685e-05,1.8605249638,2.05135638955,1.53403034504,2.82042622487
youd,6.02474664685e-05,1.8605249638,0.683785463184,1.53403034504,1.41021311243
plots,3.01237332343e-05,1.8605249638,1.36757092637,3.06806069008,2.82042622487
taught,1.50618666171e-05,1.8605249638,2.73514185274,12.2722427603,5.64085244973
destination,1.50618666171e-05,1.8605249638,2.73514185274,6.13612138016,5.64085244973
twists,0.000153128977274,1.83002455456,0.807091038513,1.20710584528,1.66451383763
couldve,0.00012300524404,1.82255506658,1.33966131563,0.751361801652,2.07214987949
protagonist,9.28815108056e-05,1.81024050532,0.88707303332,0.995046710296,1.82946565937
sounds,9.28815108056e-05,1.81024050532,2.2176825833,0.995046710296,1.82946565937
waste,9.28815108056e-05,1.81024050532,1.77414606664,4.97523355148,0.914732829686
looking,0.000356464176605,1.80811580989,0.462277496237,1.03709093749,0.476691756315
sequences,0.000296216710137,1.79745632096,0.695375047306,0.624012343745,0.860469017756
michael,0.000188273332714,1.78610396525,0.437622696438,0.981779420826,1.80507278391
took,0.000125515555143,1.78610396525,1.31286808931,0.736334565619,0.676902293968
involved,0.000125515555143,1.78610396525,0.328217022328,0.736334565619,1.35380458794
then,0.00104931004099,1.76260259729,1.02077064361,0.440391486614,0.485815043517
aspect,0.000208355821537,1.74844514671,0.790884391153,0.44357503953,0.407772466246
series,0.000401649776457,1.74424215357,1.64108511164,0.460209103512,0.84612786746
promise,8.03299552914e-05,1.74424215357,1.02567819478,2.30104551756,1.05765983432
sure,0.000451855998514,1.73648996622,1.45874232146,1.02268689669,0.564085244973
actually,0.000567330309245,1.7288063823,1.67013086583,1.3032470188,0.299514289366
serious,0.000195804266023,1.7174076589,0.841582108534,0.944018673871,0.867823453805
none,0.000130536177348,1.7174076589,1.8935597442,1.41602801081,1.30173518071
dressed,3.26340443371e-05,1.7174076589,1.2623731628,5.66411204322,5.20694072283
gary,3.26340443371e-05,1.7174076589,2.5247463256,2.83205602161,2.60347036141
worse,0.000180742399406,1.70548121682,0.683785463184,2.55671724173,0.470071037478
clever,0.000148108355068,1.7028533567,0.278150018922,1.24802468749,2.86823005919
possible,0.000133046488451,1.6850037408,1.23855480124,0.694655250584,0.638587069781
himself,0.00033387137668,1.67866914027,0.987118864146,0.830452517616,0.508949093209
because,0.0014032639065,1.6774679459,1.02751303949,0.658617679445,0.423820756509
speed,5.02062220571e-05,1.67447246742,0.820542555821,1.84083641405,1.69225573492
world,0.000923794485851,1.66840553819,1.24865171538,0.20009091457,0.45985210188
tv,0.000168190843891,1.66614175863,0.734814229093,0.549503407179,2.02060386259
means,0.000153128977274,1.6470220991,0.538060692342,0.603552922639,1.10967589175
expecting,0.000153128977274,1.6470220991,0.269030346171,0.603552922639,0.554837945875
there\s,0.000426752887485,1.64163967394,1.06187860165,0.216568989888,0.398177819981
impossible,8.53505774971e-05,1.64163967394,0.482672091659,1.08284494944,2.98633364986
awful,8.53505774971e-05,1.64163967394,0.482672091659,1.08284494944,0.995444549953
remake,8.53505774971e-05,1.64163967394,0.482672091659,2.16568989888,0.995444549953
personal,0.000205845510434,1.63363167553,0.600396992064,1.79593796492,1.6509812048
predictable,0.000240989865874,1.62795934333,0.341892731592,1.15052275878,1.05765983432
straight,0.000120494932937,1.62795934333,1.02567819478,3.06806069008,1.41021311243
relatively,0.000120494932937,1.62795934333,1.70946365796,1.53403034504,0.705106556216
leaves,0.000138067110657,1.6237308775,0.596758222415,3.34697529827,3.69219433073
let,0.000173211466097,1.61784779461,1.66486895384,1.06715154438,1.47152672602
screenplay,0.000173211466097,1.61784779461,0.237838421977,0.533575772188,0.981017817345
death,0.000313788887857,1.60749356873,2.23187575183,0.589067652495,2.43684825828
was,0.00408427616435,1.60551754713,1.28099452476,0.384686159051,0.187219442093
scene,0.000471938487337,1.60321831987,1.04750113509,0.979168305345,0.180027205842
fast,0.00014057742176,1.59473568326,0.586101825586,1.97232472934,0.604377048185
spend,7.02887108799e-05,1.59473568326,0.586101825586,1.31488315289,2.41750819274
creating,5.271653316e-05,1.59473568326,0.781469100782,3.50635507438,1.61167212849
raise,3.514435544e-05,1.59473568326,2.34440730235,2.62976630578,2.41750819274
sign,3.514435544e-05,1.59473568326,1.17220365117,2.62976630578,2.41750819274
total,3.514435544e-05,1.59473568326,1.17220365117,2.62976630578,2.41750819274
give,0.000426752887485,1.57597408699,1.73761952997,1.29941393933,0.597266729972
plot,0.000748072708651,1.57332983516,0.550699701893,1.23546068057,0.908593683178
going,0.000908732619234,1.5727089473,1.04267838585,0.610222015707,0.934947919845
point,0.000625067464611,1.56911743935,1.7135828475,1.18286677208,0.951469087906
climax,0.000107943377423,1.55764880691,0.381647700382,1.71240596656,2.36128707198
fails,0.000198314577126,1.55436262799,1.03866146306,3.72827628162,1.28525752019
itself,0.000722969597622,1.55043746984,0.911713950912,0.639179310433,0.822624315586
seems,0.000705397419902,1.54933395562,0.934425686344,0.786122312049,0.963561984296
back,0.000760624264165,1.54736729663,0.866579596907,0.607536770313,0.558500242548
premise,0.000507082842777,1.54736729663,1.21862755815,0.546783093282,1.34040058211
someone,0.000253541421388,1.54736729663,2.4372551163,0.364522062188,0.335100145529
two,0.000871077952691,1.54418210252,1.27692501482,1.16710089651,1.36550895037
fact,0.000853505774971,1.54314129351,1.93068836664,0.54142247472,0.0995444549953
pretty,0.000715438664314,1.52758891765,1.66987607851,0.645907513701,0.950038307323
needs,0.000238479554771,1.52758891765,0.345491602451,1.55017803288,0.712528730492
chemistry,0.000165680532788,1.52224769766,0.24864925934,1.67348764913,1.02560953631
felt,0.000499551909468,1.51459821174,1.15453223935,0.185008684829,0.170075953258
making,0.000519634398291,1.50999127497,0.951353687908,0.355717181459,0.817514847787
second,0.000336381687783,1.49952758277,0.857283267276,0.549503407179,0.505150965648
