word,corpus_ratio,audiencesLoveIndex,audiencesHateIndex,criticsHateIndex,criticsLoveIndex
train,4.76360604977968e-05,1.92239010989011,1.58925732455144,2.1095869761833,1.8835800807537
ultimate,4.76360604977968e-05,1.92239010989011,0.794628662275721,2.1095869761833,1.8835800807537
last,0.000526643113281198,0.985345684466287,1.65314706624195,2.09898603660449,1.53336669890502
viewers,0.00019319068979662,0.474013999698931,0.391871669067479,2.08068852445476,1.85777761389406
easy,0.00019319068979662,0.632018666265242,0.979679172668697,2.08068852445476,0.464444403473515
adaptation,0.000148201077104257,0.411940737833595,2.29874720158334,2.03424458417675,1.81630936358393
gives,0.000299048602013947,0.40829524457843,0.50631206799869,2.01624241971501,1.80023582939292
ones,0.00020113003321292,0.455302920763447,0.564604575827486,1.99855608269997,0.446111071757456
levels,5.028250830323e-05,0.607070561017929,0.752806101103315,1.99855608269997,1.78444428702982
thriller,0.000457835470339936,0.333362446801753,0.496068760264612,1.97545138810228,3.13567088587899
subject,0.000203776481018353,0.149796631939489,0.185757349622896,1.97260080889867,0.880634842949782
approach,0.000153493972715123,0.596603827207276,0.739826685567051,1.96409821920514,2.33823734162528
script,0.000359916901538909,0.932924612152553,0.631028643571896,1.95447028675806,0.997189454516665
use,0.000206422928823786,0.739380811496196,0.733503380562204,1.94731105493843,0.869344652655554
odd,0.000103211464411893,1.18300929839391,1.10025507084331,1.94731105493843,2.60803395796666
stuff,0.000156140420520556,1.36848109517601,0.727287250218457,1.93080841887963,0.574651550060451
final,0.000365209797149776,1.08656832298137,0.829177734548578,1.92614463042823,1.47410615015507
sometimes,0.000209069376629219,0.292008624287105,1.08632779146554,1.92266154791389,0.858340289963712
lost,0.000264644780543316,0.461373626373626,1.28729843288667,1.89862827856497,0.678088829071332
theyre,0.000264644780543316,0.34603021978022,1.14426527367704,1.89862827856497,2.034266487214
opportunity,0.000105857912217326,0.576717032967033,2.14549738814445,1.89862827856497,1.69522207267833
admire,5.29289561086631e-05,0.576717032967033,0.715165796048149,1.89862827856497,1.69522207267833
payoff,5.29289561086631e-05,0.576717032967033,0.715165796048149,1.89862827856497,1.69522207267833
speed,5.29289561086631e-05,0.576717032967033,1.4303315920963,1.89862827856497,1.69522207267833
cares,5.29289561086631e-05,0.576717032967033,0.715165796048149,1.89862827856497,1.69522207267833
shouldnt,5.29289561086631e-05,1.15343406593407,2.14549738814445,1.89862827856497,1.69522207267833
animated,0.000161433316131423,0.945437758962349,0.703441766604737,1.867503224818,2.22324206252896
begins,0.000108504360022759,1.12530152774055,0.697722727851853,1.8523202717707,1.65387519285691
forced,0.000108504360022759,0.843976145805414,1.04658409177778,1.8523202717707,0.826937596428454
boy,0.000164079763936856,1.48830202056009,0.461397287772999,1.83738220506287,0.546845829896236
cast,0.000658965503552856,0.833807758506554,0.402101250790124,1.83000316006262,0.816974492857027
young,0.00044460323131277,1.16716542386185,0.510832711462964,1.80821740815711,0.40362430301865
compelling,0.000222301615656385,0.137313579277865,1.19194299341358,1.80821740815711,3.2289944241492
rarely,0.000111150807828193,1.09850863422292,1.70277570487655,1.80821740815711,1.6144972120746
setup,0.000111150807828193,1.09850863422292,1.36222056390124,1.80821740815711,1.6144972120746
common,0.000111150807828193,1.09850863422292,1.02166542292593,1.80821740815711,1.6144972120746
brought,0.000111150807828193,0.54925431711146,2.38388598682716,1.80821740815711,1.6144972120746
straightforward,5.55754039140963e-05,0.54925431711146,1.36222056390124,1.80821740815711,3.2289944241492
needs,0.000227594511267252,1.47532264247381,0.332635253975883,1.76616584052555,0.788475382641084
serves,0.000113797255633626,0.804721441349348,0.665270507951766,1.76616584052555,0.788475382641084
offer,0.000113797255633626,1.6094428826987,0.332635253975883,1.76616584052555,2.36542614792325
otherwise,0.000113797255633626,0.804721441349348,0.99790576192765,1.76616584052555,1.57695076528217
tone,0.000285816362986781,0.640796703296703,1.19194299341358,1.75798914681942,1.56965006729475
dramatic,0.000172019107353155,1.24215976331361,0.660153042505984,1.75257994944459,4.17285433274666
entirely,0.000172019107353155,1.06470836855452,1.10025507084331,1.75257994944459,1.56482037478
similar,0.000116443703439059,0.786432317682318,1.30030144736027,1.72602570778634,0.77055548758106
none,0.000116443703439059,1.83500874125874,1.62537680920034,1.72602570778634,1.54111097516212
chase,5.82218517195295e-05,0.524288211788212,1.30030144736027,1.72602570778634,1.54111097516212
